titre,acronym,rankc
The Theory and Application of Diagrams,DIAGRAMS,C
Australian Pattern Recognition Society Conference,DICTA,A
Digital Image Computing Techniques and Applications,DICTA,C
Joint DICTA & IVCNZ,DICTA/IVCNZ,A
Digital Games Research Conference,DIGRA,C
Conference on Discrete Mathematics Algebra and their Application,DIMA,C
DIMACS Workshop on Intrinsic Complexity of Computation,DIMACS Intrinsic,C
GI International Conference on Detection of Intrusions and Malware and Vulnerability Assessment,DIMVA,C
Designing Interactive Systems,DIS,A
International Symposium on Distributed Computing (was WDAG),DISC,A
Doing IT at Melbourne,DITAM,L
Internationale Tagung Wirtschaftsinformatik,DITW,C
Joint Australia and New Zealand Biennial Conference on Digital Image and Vision Computing,DIVC,A
Dynamic Languages Symposium,DLS,C
Developments in Language Theory,DLT,C
SIAM Conference on Discrete Mathematics,DM,C
Discrete Models: Combinatorics Computation and Geometry,DM-CCG,C
Design and Management of Data Warehouses,DMDW,C
Workshop on Research Issues in Data Mining and Knowledge Discovery,DMKD,C
International Conference on Discrete Mathematics and Theoretical Computer Science,DMTCS,B
VisMasters Design Modelling and Visualization Conference,DMVC,C
DNA Computing and Molecular Programming,DNA,B
ACM Symposium on Document Engineering,DocEng,B
International Workshop on Data Warehousing and OLAP,DOLAP,C
Deductive and Object-Oriented Databases,DOOD,A
Workshop on Declarative Programming in the Context of OO Languages,DP-COOL,C
Designing Pleasurable Products And Interfaces,DPPI,B
ACM Digital Rights Management Workshop,DRM,C
Design Research Society (UK) International Conference,DRS,B
Discovery Science,DS,B
International Symposium on Distributed Simulation and Real Time Applications,DS-RT,C
IEEE International Conference on Data Science and Advanced Analytics,DSAA,B
Domain Specific Aspect Languages,DSAL,C
Annual Meeting of the Decision Sciences Institute,DSI,C
International Colloquium on Data Sciences Knowledge Discovery and Business Intelligence,DSKDB,C
Domain - Specific Languages for Software Engineering,DSLSE,C
Workshop on Domain Specific Modelling,DSM,C
IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,A
Workshop on Assurance Cases for Security,DSN,C
Distributed Simulation Symposium ,DSS,B
International Conference on Decision Support Through Knowledge Management ,DSTKM,C
International Conference on Design Theory and Methodology (ASME),DTM,A
Workshop on Database Technology for Virtual Enterprises,DTVE,C
Dutch Computational Geometry Day,DutchCG,C
Design for User Experience,DUX,B
Information Systems &Technologies /SPIE Conference on Digital Video Compression Algorithms & Techniques,DVAT,C
International Workshop on Principles of Diagnosis,DX,C
IEEE Dynamic Spectrum Access Networks ,DYSPAN,B
IEEE International Conference on e-Science and Grid Computing,e-Science,B
Engineering Applications of Artifical Intelligence ,EAAI,A
European Association for Computational Linguistics,EACL,A
European Academy of Design conferences,EAD,C
Conference of the European Association for Machine Translation,EAMT,C
International Conference on Engineering Applications of Neural Networks,EANN,C
Workshop on Aspect Oriented Requirements Engineering and Architecture Design,Early Aspects,C
International Conference on Evaluation and Assessment in Software Engineering,EASE,A
East Asia Society for Transportation Studies Conference (biennial),EASTS,C
EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS,EATIS,C
ACM Conference on Economics and Computation,EC,A*
European Conference on Technology Enhanced Learning,EC-TEL,B
Education and Research in Computer Aided Architectural Design in Europe,eCAADe,B
European Conference on Artificial Intelligence,ECAI,A
European Conference on Artificial Life,ECAL,B
IEEE International Conference and Workshop on the Engineering of Computer Based Systems,ECBS,B
European Computing Conference,ECC,C
Workshop on Elliptic Curve Cryptography,ECC,C
European Conference on Computational Biology,ECCB,C
European Conference on Computational Biology,ECCB,C
European Conference on Computational Mechanics,ECCM,A
European Chapter on Combinatorial Optimization,ECCO,C
European Conference on Computer Vision,ECCV,A*
European Conference on Digital Government (was European Conference on e-Government ECEG),ECDG,C
International Workshop on Evolution and Change in Data Management,ECDM,C
European Conference on Information Management and Evaluation,ECIME,C
European Conference on Information Retrieval,ECIR,A
European Conference on Information Systems,ECIS,A
European Conference of Information Warfare,ECIW,C
European Conference on Modelling Foundations and Applications,ECMFA, 
European Conference on Machine Learning (Joined with PKDD from 2008),ECML,A
European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),ECML PKDD,A
International Conference on Modelling and Simulation,ECMS,C
European Conference on Object-Oriented Programming,ECOOP,A
IEEE European Conference on Web Services,ECOWS,C
European Conference on Research Methodology for Business and Management Studies,ECRM,C
Euromicro Conference on Real-Time Systems,ECRTS,B
ECRYPT Workshop on Cryptographic Hash Functions,ECRYPT,C
ECRYPT Workshop on Tools for Cryptanalysis,ECRYPT,C
European Conference on Software Architecture,ECSA,A
European Conference on Computer Supported Cooperative Work,ECSCW,B
European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty,ECSQARU,C
European Conference on Universal Multiservice Networks,ECUMN,C
International Conference on Electronic Commerce and Web Technology,ECWeb,B
World Conference on Educational Multimedia Hypermedia and Telecommunications ,ED-MEDIA,C
Extending Database Technology,EDBT,A
European Dependable Computing Conference,EDCC,
Educational Data Mining,EDM,B
Symposium on Discrete Mathematics,EDM,C
IEEE International Enterprise Distributed Object Computing Conference,EDOC,B
Environmental Design Research Association,EDRA,B
International Workshop on Economics-Driven Software Engineering Research,EDSER,C
IEEE International Conference on Enterprise Computing E-Commerce and E-Services,EEE,C
Engineering Federated Information (Database) Systems ,EFIS/EFDBS,C
Joint Meeting of the European Frequency and Time Forum and the Institute of Electrical and Electronics Engineers In,EFTF/IFCS,C
European Grid Conference,EGC,B
French Speaking Conference on the Extraction and Management of Knowledge,EGC,C
Spanish Meeting on Computational Geometry,EGC,C
Enabling Grids for E-Science European Conference,EGEE,C
Eurographics Symposium on Parallel Graphics and Visualization,EGPGV,C
International Conference on Artificial Reality and Telexistance & Eurographics Symposium on Virtual Environments,EGVE,C
European Institute for Computer Anti-Virus Research EICAR Conference,EICAR,C
Engineering Interactive Computing Systems,EICS,A*
International Conference on Enterprise Information Systems and Web Technologies,EISWT,C
European-Japanese Conference on Information Modelling and Knowledge Bases,EJC,C
International Conference on Knowledge Engineering and Knowledge Management,EKAW,B
European Conference on Knowledge Management,EKM,B
European Lisp Workshop,ELW,C
EMAS (merger of DALT AOSE and PROMAS),EMAS,B
The Annual International Conference of the IEEE Engineering in Medicine and Biology Society,EMBC,C
European Mediterranean and Middle Eastern Conference on Information Systems,EMCIS,B
Exploring Modelling Methods in Systems Analysis and Design,EMMSAD,C
Embedded Sensor Networks Workshop,Emnets,C
Empirical Methods in Natural Language Processing,EMNLP,A*
ACM Conference on Embedded Software,EMSOFT,A*
International Conference on Evaluation of Novel Approaches to Software Engineering,ENASE,B
Mexican International Conference on Current Trends in Computer Science (was Mexican International Conference on Computer Science),ENC,C
International Conference on Information and Communication Technologies in Tourism,ENTER,C
International Workshop on Enterprise and Organizational Modelling and Simulation,EOMAS,C
Annual Conference on Evolutionary Programming,EP,C
Portuguese Conference on Artificial Intelligence,EPIA,A
ERATO Conference on Quantum Information Science,EQIS,C
International Conference on Conceptual Modelling,ER,A
ERCIM Annual Workshop on Constraint Solving and Constraint Logic Programming,ERCIM/CSCLP,B
European Symposium on Algorithms,ESA,A
European Symposium on Artificial Neural Networks,ESANN,B
European Workshop on Security and Privacy in Ad -Hoc and Sensor Networks,ESAS,C
Symposium On Combinatorics Algorithms Probabilistic and Experimental Methodologies,ESCAPE,C
International Symposium on Empirical Software Engineering and Measurement,ESEM,A
European Symposium on Gender and ICT,ESGICT,C
European Symposium on Programming,ESOP,A
European Symposium On Research In Computer Security,ESORICS,A
International Joint Conference on Qualitative and Quantitative Practical Reasoning,ESQARU,A
European Simulation Symposium,ESS,B
Extended Semantic Web Conference (was European Semantic Web Conference),ESWC,B
European Transport Conference,ETC,B
ETHICOMP Conference,ETHICOMP,C
Eye Tracking Research and Applications,ETRA,B
IEEE/IFIP International Conference on Embedded and Ubiquitous Computing,EUC,C
European Congress on Intelligent Techniques and Soft Computing,EUFIT,C
European Conference on Multi-Agent Systems,EUMAS,C
European Conference on Operations Research,European Conference on Operations Research,C
Euro Virtual Reality,Euro VR,C
European Workshop on Advanced Mobile Robots,EuroBot,C
European Workshop on Computational Geometry,EuroCG,C
European Conference on Computational Learning Theory (Now in COLT),EuroCOLT,C
EuroConference on Combinatorics Graph Theory and Applications,EUroComb,C
International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,A*
European Conference on Genetic Programming,EUROGP,B
European Graphics Conference,EUROGRAPH,A
European MPI Users' Group Conference,EuroMPI,C
European Natural Language Generation Workshop,EuroNLG,B
International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing),EuroPar,B
European PKI Workshop: Theory and Practice,EUROPKI,B
European Conference on Pattern Languages of Programs,EuroPLop,A
IEEE European Symposium on Security and Privacy,EuroS&P, 
European SPI,EuroSPI,B
Eurosys Conference,EuroSys,A
Visual Analytics,EuroVA,C
Eurographics/IEEE Symposium on Visualization,EuroVis,B
Conference of the European Society for Fuzzy Logic and Technologies,EUSFLAT,C
European Signal Processing Conference,EUSIPCO,B
International Conference on Emerging Ubiquitous Systems and Pervasive Networks,EUSPN,
International Conference on Applications of Evolutionary Computation,EvoApplications,B
European Conference on Evolutionary Computation in Combinatorial Optimisation,EvoCOP,B
International Conference on Artificial Intelligence in Music Sound Art and Design,EvoMUSART,C
International Conference on Electronic Voting,EVOTE,C
USENIX/ACCURATE Electronic Voting Technology Workshop,EVT,C
European Workshop on Learning Robots,EWLR,B
International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks),EWSN,B
Extreme Markup Languages,Extreme Markup Languages,C
Finite Differences-Finite Elements-Finite Volumes-Boundary Elements,F-and-B,C
Fundamental Approaches to Software Engineering,FASE,B
Conference on File and Storage Technologies,Conference on File and Storage Technologies,A
A Satellite workshop on Formal Approaches to Testing of Software,FATES,C
International Frontiers of Algorithmics Workshop,FAW,A
Financial Cryptography and Data Security Conference,FC,A
Formal and Computational Cryptography,FCC,C
IEEE Symposium on Field Programmable Custom Computing Machines,FCCM,B
French Conference on Knowledge Acquisition and Machine Learning,FCKAML,B
Japan-China Joint Workshop on Frontier of Computer Science and Technology,FCST,C
International Symposium on Fundamentals of Computation Theory,FCT,B
International Conference on the Foundations of Digital Games,FDG,C
Forum on Specification and Design Languages,FDL,C
Functional and Declarative Programming in Education,FDPE,C
Workshop on Fault Diagnosis and Tolerance in Cryptography,FDTC,C
CONFERENCE ON COMPUTER SCIENCE AND INTELLIGENCE SYSTEMS,FedCSIS,A
Far East Workshop on Future DB Systems,FEWFDB,C
IEEE International Conference on Automatic Face and Gesture Recognition,FG,B
Frontiers in Education,FIE,C
FIE Frontiers in Education,FIE,A
FIRA Robot World Congress,FIRA,C
FISITA World Automotive Congress,FISITA,B
International Conference on Frontiers of Information Technology,FIT,C
Florida Artificial Intelligence Research Society Conference,FlAIRS,A
International FLINS Conference on Robotics and Artificial Intelligence (was International Fuzzy Logic and Intelligent technologies in Nuclear Science Conference),FLINS,C
International Symposium on Functional and Logic Programming,FLOPS,A
International Symposium on Formal Methods (was Formal Methods Europe FME),FM,A
Formal Methods in Computer-Aided Design,FMCAD,B
Int. Workshop on Formal Methods for Industrial Critical Systems,FMICS,C
International Workshop on Formal Methods for interactive Systems,FMIS,C
International Workshop on Foundations of Models and Languages for Data and Objects,FMLDO,C
International Conference on Formal Methods for Open Object-Based Distributed Systems,FMOOD,C
Formal Methods Pacific,FMP,C
International Workshop on Formal Methods for Parallel Programming: Theory and Applications,FMPPTA,C
ACM Workshop on Formal Methods in Security Engineering: From Specifications to Code,FMSE,C
Formal Methods in Software Engineering and Defence Systems Workshop,FMSEDS,C
The International Conference on Future Networks and Communications,FNC,B
Foundations of Aspect-Oriented Languages,FOAL,C
IEEE Symposium on Foundations of Computer Science,FOCS,A*
International Conference on Foundation on Data Organization,FODO,A
Foundations of Genetic Algorithms,FOGA,A
International Conference on Formal Ontology in Information Systems,FOIS,B
International Workshop on Foundations of Object-Oriented Languages,FOOL,C
IFIP Joint International Conference on Formal Description Techniques and Protocol Specification Testing And Verification,FORTE,C
Foundations of Software Science and Computational Structures,FOSSACS,A
Formal Power Series and Algebraic Combinatorics,FPSAC,B
Flexible Query-Answering Systems,FQAS,C
IEEE Conference of the Open Innovations Association FRUCT,FRUCT,B
International Conference on Formal Structures for Computation and Deduction,FSCD,B
ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE changed 2024; duplicate previously listed as ESEC removed from DB),FSE,A*
International Workshop on Fast Software Encryption,FSE,A*
International Conference on Fuzzy Systems and Knowledge Discovery,FSKD,C
International Conference on Field and Service Robotics,FSR,A
International Workshop on Foundations for Secure/Survivable Systems and Networks,FSSSSN,C
Foundations of Software Technology and Theoretical Computer Science,FST&TCS,A
International Symposium on Fault-Tolerant Computing,FTCS,C
IEEE International Workshop on Future Trends of Distributed Computing Systems,FTDCS,C
Workshop on Formal Techniques for Java-like Programs,FTfJP,C
International Workshops on First-Order Theorem Proving,FTP,B
Formal Techniques in Real-Time and Fault Tolerant Systems ,FTRTFT,B
Conference on Fun with Algorithms,FUN,A
International Conference on Information Fusion,International Conference on Information Fusion,C
IEEE International Conference on Fuzzy Systems,FUZZ-IEEE,B
International Conference on Grid computing high-performance and Distributed Applications,GADA,C
MSRI Combinatorial Game Theory Research Workshop,GameTheory,C
International Conference on Grid Computing and Applications,GCA,C
International Conference on Grid and Cooperative Computing,GCC,C
Global Chinese Conference on Computers in Education,GCCCE,C
Graph Drawing,GD,A
Game Developers Conference,GDC,C
International Conference of Society for Group Decision and Negotiation,GDN,B
Genetic and Evolutionary Computations,GECCO,A
International Workshop on Genetic and Evolutionary Fuzzy Systems,GEFS,C
International Conference on GeoComputation,GeoComp,C
SIAM Conference on Geometric Design,GeoD,C
Workshop on Uncertainty in Geometric Computations,GEOM Uncertainty,C
Geometry Festival: An international workshop on Discrete Geometry and Rigidity,GeomFest,C
GeoShanghai International Conferences,GeoShanghai,A
GeoVisualization and Information Visualization,GeoViz,C
Grace Hopper Celebration of Women in Computing,GHC,C
Graphics Interface,GI,B
IEEE Global Internet Symposium,GI,C
IEEE Global Information Infrastructure Symposium,GIIS,C
GIS Planet Conference,GISPlanet,C
Global Information Technology Management Association World Conference,GITMA,B
IEEE Global Telecommunications Conference ,GLOBECOM,B
Geometric Modelling and Imaging International Conference (IEEE),GMAI,B
Geometry Modeling and Processing,GMP,C
International Workshop on Global Optimization,International Workshop on Global Optimization,C
International Workshop on Group-Oriented Cryptographic Protocols,GOCP,C
International Conference on Operations Research,GOR,C
International Conference on Green Pervasive and Cloud Computing (was Grid and Pervasive Computing),GPC,C
International Conference on Generative Programming and Component Engineering,GPCE,B
Brazilian Symposium on Graphs Algorithms and Combinatorics,GRACO,C
Workshop on Applications of Graph Theory in Wireless Ad hoc Networks and Sensor Networks,Graph-hoc,C
IEEE International Conference on Granular Computing,GrC,C
Visualization In Science and Education,GRC,A
IEEE/ACM International Conference on Grid Computing,GRID,A
ACM Special Interest Group on Supporting Group Work (was SIGGRoup),Group,B
International Wordnet Conference (Global Wordnet Conference),GWC,C
Human-Agent Interaction,HAI,B
International Workshop on Human Aspects in Ambient Intelligence: Agent Technology Human-Oriented Knowledge and Applications,HAI,C
International Conference on Hybrid Artificial Intelligence Systems,HAIS,A
IEEE International Symposium on High Assurance Systems Engineering,HASE,C
Haskell Workshop,HASKELL,C
Healthy Buildings,HB,A
British Computer Society Conference on Human-Computer Interaction,HCI,A
HCist - International Conference on Health and Social Care Information Systems and Technologies,HCist,
AAAI Conference on Human Computation and Crowdsourcing,HCOMP,B
Heterogeneity in Computing Workshop,HCW,C
Australasian Workshop on Health Data and Knowledge Management,HDKM,A
IEEE international conference on ehealth networking applications and services (was International Workshop on Enterprise Networking and Computing in Health Care Industry; changed 2006),HealthCom,C
International Conference on Health Informatics,Healthinf,C
Human Factors and Ergonomics Conference (Human Factors and Ergonomics Society of Australia),HFESA,C
Health Informatics Conference,HIC,C
Hawaii International Conference on System Sciences,HICSS,A
International Conference on High Performance Computing,HiPC,A
International Workshop on High-Level Parallel Programming Models and Supportive Environments,HIPS,C
International Conference on Hybrid Intelligent Systems,International Conference on Hybrid Intelligent Systems,C
Hong Kong Institute of Value Management Conference,HKIVM,A
IEEE International High Level Design Validation and Test Workshop,HLDVT,C
International workshop on High-Level Parallel Programming and Applications,HLPP,C
Human Language Technologies ,HLT,B
Symposium on High Performance Chips,HOT CHIPS,A
Symposium on High Performance Chips ,HOTCHIPS (HCS),C
IEEE Symposium on High-Performance Interconnects,HOTI,A
IEEE WoWMoM Workshop on Hot Topics in Mesh Networking,HotMESH,C
Workshop on Mobile Computing Systems and Applications,HOTMOBILE,A
ACM Workshop on Hot Topics in Networks,HOTNETS,A
USENIX Workshop on Hot Topics in Operating Systems,HotOS,A
International Workshop on Hot topics in Peer-to-Peer Systems,HotP2P,C
Workshop on Power Aware Computing and Systems,HotPower,B
ACM Workshop on Hot Topics in Software Upgrades,HotSWUp,C
IEEE Workshop on Hot Topics in Web Systems and Technologies,HotWeb,B
International Conference and Exhibition on High Performance Computing in the Asia-Pacific Region,HPC Asia,C
International Symposium on High Performance Computer Architecture,HPCA,A*
IEEE International Conference on High Performance Computing and Communications,HPCC,C
International Conference on High Performance Computing and Networking,HPCN,B
International Conference on High Performance Computing Networking and Communication Systems,HPCNCS,B
High Performance Computing Symposium Canada,HPCS-Canada,C
ACM International Symposium on High Performance Distributed Computing,HPDC,A
High-Performance Grid Computing Workshop (part of IPDPS Conference),HPGrid,C
International Conference on High Performance Scientific Computing,HPSC,A
IEEE Workshop on High Performance Switching and Routing,HPSR,C
ACM/IEEE International Conference on Human-Robot Interaction,HRI,A
Human System Interaction,HSI,C
IEEE-RAS International Conference on Humanoid Robots,IEEE-RAS International Conference on Humanoid Robots,C
Hungarian National Conference on Agent Based Computation,HUNABC,C
SIGGRAPH/EUROGRAPHICS Conference On Graphics Hardware,HWWS,C
ACM Conference on Hypertext and Social Media,ACM Conference on Hypertext and Social Media,A
International Symposium on Parallel Architectures Algorithms and Networks,I-SPAN,B
ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,B
International Conference on Innovations for Community Services (was Innovative Internet Computer Systems IICS until 2014),I4CS,C
Indoor Air,IA,A
Innovative Applications in AI,IAAI,C
International Conference of the International Association for Computer Methods and Advances in Geomechanics,IACMAG,A
IADIS International Conference Applied Computing,IADIS AC,C
International Workshop on Image Analysis and Information Fusion,IAIF,C
Annual Conference of the International Academy for Information Management,IAIM,C
International Conference on Management of Technology,IAMOT,C
International Conference on Indoor Air Quality Ventilation and Energy Conservation in Buildings,IAQVEC,A
IEEE International Augmented Reality Toolkit Workshop,IARTW,C
IEEE Industry Applications Society Annual Conference,IAS,A
International Symposium on Information Assurance and Security,IAS,C
International Association of Societies of Design Research,IASDR,B
International Association for the Study of Traditional Environments (US),IASTE,B
IASTED International Conference on Biomedical Engineering,IASTED,A
The IASTED International Conference on Applied Simulation and Modelling (International Association of Science and Technology for Development),IASTED,C
International Conference on Intelligent Agents Web Technologies and Internet Commerce,IAWTIC,B
International Business Information Management,IBIMA,B
Iberian Conference on Pattern Recognition and Image Analysis,IBPRIA,C
Symposium on ‘Building Simulation in the Southwest of England’,IBPSA,A
International Conference on Internet Computing,IC,B
International Conference on Artificial Intelligence,IC-AI,A
International Joint Conference on Knowledge Discovery Knowledge Engineering and Knowledge Management,IC3K,C
IFAC Conference on Automation,ICA,C
International Conference on Algorithms and Architectures for Parallel Processing,ICA3PP,C
International Conference on Agents and Artificial Intelligence,ICAART,B
IEEE International Conference on Autonomic Computing,ICAC,B
International Conference of Asian Digital Libraries,ICADL,A
International Conference on Artificial Intelligence and Law,ICAIL,C
IEEE International Conference on Adaptive and Intelligent Systems,ICAIS,C
International Conference on Artificial Intelligence and Soft Computing,ICAISC,A
International Colloquium on Automata Languages and Programming,ICALP,A
IEEE International Conference on Advanced Learning Technologies,ICALT,B
International Conference on Artificial Neural Networks,ICANN,C
International Conference on Adaptive and Natural Computing Algorithms,ICANNGA,C
International Conference on Artificial Neural Networks and Genetic Algorithms,ICANNGA,C
International Conference on Advances in Pattern Recognition and Digital Techniques,ICAPRDT,C
International Conference on Automated Planning and Scheduling,ICAPS,A*
International Conference on Control Automation Robotics and Vision,ICARCV,C
IEEE International Conference on Acoustics Speech and Signal Processing,ICASSP,B
International Conference on Artificial Reality and Telexistence,ICAT,B
IEEE International Conference on Blockchain and Cryptocurrency,ICBC,C
IEEE International Conference on Communications,ICC,B
IEEE/ACM International Conference on Computer-Aided Design,ICCAD,A
International Congress on Computational and Applied Mathematics,ICCAM,C
International Conference on Case-Based Reasoning,ICCBR,C
IEEE International Conference on COTS-Based Software Systems,ICCBSS,C
IEEE International Conference on Computational Cybernetics,ICCC,C
International Conference on Chinese Computing,ICCC,C
International Conference on Computational Creativity,ICCC,C
Computing in Civil Engineering and Building International Conference,ICCCBE,C
International Conference on Computational Collective Intelligence,ICCCI,B
International Conference on Computer Communication and Networks,ICCCN,B
International Conference on Computers in Education,ICCE,C
International Conference on Construction Engineering and Management,ICCEM,C
International Congress of Construction History,ICCH,B
International Conference on Computers Helping People with Special Needs,ICCHP,C
IEEE International Conference on Cognitive Informatics,ICCI,C
International Conference on Computing and Information,ICCI,B
International Conference on Construction in Developing Countries,ICCIDC,C
International Conference on Computational Intelligence and Multimedia,ICCIMA,C
IEEE International Conference on Computer Languages,ICCL,A
International Congress of Chinese Mathematicians,ICCM,C
International Conference on Networking and Mobile Computing,ICCNMC,C
IEEE International Conference on Intelligent Computer Communication and Processing,ICCP,C
International Conference on Construction and Real Estate Management,ICCREM,B
International Command and Control Research and Technology Symposium,ICCRTS,C
International Conference on Computational Science,ICCS,A
International Conference on Conceptual Structures,ICCS,B
International Conference on Communication Systems and Applications,ICCSA,C
International Conference on Computational Science and its Applications,ICCSA,C
International Conference on Computer Theory and Applications,ICCTA,C
IEEE International Conference on Computer Vision,ICCV,A*
International Conference on Computer Vision and Graphics,ICCVG,C
IEEE International Conference on Document Analysis and Recognition,ICDAR,A
International Conference on Distributed Computing and Internet Technologies,ICDCIT,A
International Conference on Distributed Computing and Networking,ICDCN,A
International Conference on Distributed Computing Systems,ICDCS,A
International Conference on Data Engineering,ICDE,A*
International Conference on Digital Economy,ICDEc,
IEEE International Conference on Data Mining,ICDM,A*
International Conference on Digital Society,ICDS,C
ACM/IEEE International Conference on Distributed Smart Cameras,ICDSC,B
IEEE International Conference on Data Science and Engineering,ICDSE,A
International Conference on Database Theory,ICDT,A
International Conference on e-Business,ICEB,B
IEEE International Conference on e-Business Engineering,ICEBE,B
International Conference on Electronic Commerce,ICEC,C
International Conference on Entertainment Computing,ICEC,C
World Congress on Cost Engineering Project Management and Quantity Surveying AACE American Association of Cost Engineers,ICEC,B
IEEE International Conference on Engineering of Complex Computer Systems,ICECCS,B
International Conference on Engineering Design (ICED) The Design Society,ICED,B
International Conference on Engineering Education,ICEE,C
IASTED Telehealth and Assistive Technology,ICEE- ICEER,A
International Conference on Enterprise Integration and Modelling Technology,ICEIMT,C
International Conference on Enterprise Information Systems,ICEIS,C
1st International Conference on Engineering Management,ICEM,
International Computing Education Research Workshop,ICER,A
International Conference on Computational Engineering Science,ICES,C
International Conference on Environmental Systems,ICES,A
International Conference on Embedded Software and Systems,ICESS,C
International Joint Conference on e-Business and Telecommunications,ICETE,C
International Conference Formal Concept Analysis Conference,ICFCA,C
IEEE International Conference on Fog and Edge Computing,ICFEC,C
International Conference on Formal Engineering Methods,ICFEM,C
International Conference on Frontiers of Handwriting Recognition,ICFHR,B
International Conference on Functional Programming,ICFP,A
International Conference on Genetic Algorithms,ICGA,B
IEEE International Conference on Global Software Engineering,ICGSE,C
International Conference on Graph Transformations,ICGT,B
International Conference on Convergence and Hybrid Information Technology,ICHIT,C
International Conference on Image Analysis and Processing,ICIAP,A
International Conference on Image Analysis and Recognition,ICIAR,C
International Conference on Intelligent and Advanced Systems,ICIAS,C
International Conference on Information and Communications Security,ICICS,C
International Conference on Information Communications and Signal Processing,ICICS,B
International Conference on Internet Computing in Science and Engineering,ICICSE,C
International Conference on Information and Communications Technology,ICICT,C
International Conference on International and Communication Technologies,ICICTE,C
International Conference on Interactive Digital Storytelling (2008 merger of 'ICVS International Conference on Virtual Storytelling' and 'TIDSE Technology for Interactive Digital Storytelling'),ICIDS,C
International Conference on Information and Emerging Technologies,ICIET,C
International Conference on Image and Graphics,ICIG,A
IEEE International Conference on Industrial and Information Systems,ICIIS,C
International Conference on Intelligent Systems,ICIL,C
International Conference on Internet Monitoring and Protection,ICIMP,C
Conference on Innovation in Clouds Internet and Networks,ICIN,A
International Conference on Informatics in Control Automation and Robotics,ICINCO,C
IEEE International Conference on Image Processing,ICIP,B
International Conference on Information Quality,ICIQ,
IEEE/ACIS International Conference on Computer and Information Science,ICIS,C
International Conference on Information Systems,ICIS,A*
International Conference on Interaction Sciences: Information Technology Culture and Human,ICIS,C
International Conference on Information Security and Cryptology,ICISC,A
International Conference on Image and Signal Processing,ICISP,C
International Conference on Information Systems Security,ICISS,A
International Conference on Information Systems Security and Privacy,ICISSP,C
International Conference on Information Technology and Applications,ICITA,C
International Conference on Information Theoretic Security,ICITS,C
International Conference on Internet and Web Applications and Services,ICIW,C
International Conference on Logic Programming,ICLP,A
International Conference on Learning Representations,ICLR,A*
International Congress of Mathematicians,ICM,C
International Conference on Multi Agent Systems,ICMAS,A
International Conference on Mobile Business,ICMB,C
IEEE International Conference on Multimedia Computing and Systems,ICMCS,A
IEEE International Conference on Multimedia and Expo,ICME,A
International Conference on Multimodal Interaction (was International Conference on Multimodal Interfaces),ICMI,B
Management of Innovation and Technology International Conference,ICMIT,C
International Conference on Machine Learning,ICML,A*
International Conference on Machine Learning and Applications,ICMLA,C
International Conference on Machine Learning and Cybernetics,ICMLC,A
International Conference on Multimedia,ICMR,B
International Conference on Multimedia Retrieval (previously MIR),ICMR,B
IASTED International Conference on Modelling Simulation and Optimisation,ICMSO,C
International Conference on Model Transformation,ICMT,B
International Conference on Machine Vision,ICMV,C
International Conference on Natural Computation,ICNC,A
IEEE International Conference on Neural Networks,ICNN,B
International Conference on Network Protocols,ICNP,B
International Conference on Networking Sensing and Control,ICNSC,C
SIGOPT - International Conference on Optimization,ICO,C
International Conference on Computing and Informatics,ICOCI,C
IEEE International Conference on Networks,ICON,B
International Conference on Neural Information Processing,ICONIP,B
International Conference on Operations Research and Enterprise Systems,ICORES,C
International Conference on Smart homes and health Telematics,ICOST,C
International Conference on Optimization: Techniques And Applications,ICOTA,C
International Conference on Parallel and Distributed Systems,ICPADS,B
IEEE International Conference on Program Comprehension (previously IWPC changed in 2006),ICPC,A
International Conference on Pervasive Computing and Applications,ICPCA,C
ACM/SPEC International Conference on Performance Engineering,ICPE,B
International Conference on Process Mining,ICPM,B
International Conference on Parallel Processing,ICPP,B
International Conference on Pattern Recognition,ICPR,B
International Conference on Pattern Recognition Applications and Methods,ICPRAM,C
International Conference on Pervasive Services,ICPS,C
IEEE International Conference on Robotics and Automation,ICRA,A*
ACM International Conference on Supercomputing,ICS,A
International Conference on Software Architecture (was previously WICSA),ICSA,A
Canadian Society for Civil Engineering International Construction Specialty Conference,ICSC,C
International Computer Science Conference,ICSC,B
International Computer Symposium Conference,ICSC2,A
International Conference on Software Engineering,ICSE,A*
International Conference on Software Engineering Advances,ICSEA,C
International Conference on Systems Engineering,ICSEng,C
International Conference on Surface Finishing Technology and Surface Engineering,ICSFT2008,A
International Conference on Spoken Language Processing,ICSLP,C
IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM IEEE International Conference on Software Maintenance),ICSME,A
International Conference on Soil Mechanics and Geotechnical Engineering,ICSMGE,A
International Conference on Service Oriented Computing,ICSOC,A
International Conference on Software and Data Technologies,ICSoft,C
